ANIMAL	FATHER	MOTHER
2400	NA	1096
2401	NA	1104
2402	NA	1981
2403	NA	1105
2404	NA	1284
2405	2246	NA
2406	2138	1835
2408	NA	2245
2409	1587	425
2410	1878	1103
2411	NA	1879
2412	1223	1879
2413	NA	2105
2414	NA	2176
2415	NA	1264
2416	2332	2165
2417	2326	904
2418	NA	24
2419	1881	24
2420	NA	577
2421	1890	577
2422	1890	2163
2423	2173	1288
2424	NA	1288
2425	NA	2128
2426	2121	2273
2427	NA	2146
2428	NA	2146
2429	2142	NA
2431	2111	755
2432	2153	2066
2434	NA	2363
2435	2332	1097
2436	1878	1825
2437	1878	1825
2438	2142	2361
2439	NA	2364
2440	2106	1899
2441	2106	1899
2442	NA	2143
2443	NA	NA
2445	2106	1662
2446	2142	2291
2447	2115	1101
2448	2244	1101
2449	1587	1242
2450	NA	1242
2451	2156	2164
2452	NA	2164
2453	1223	1082
2454	NA	1082
2455	2290	2341
2456	1890	2178
2457	NA	2172
2458	NA	2278
2459	1871	1741
2460	1587	1259
2461	2142	1090
2462	2147	1090
2463	2213	1665
2464	NA	1106
2465	2254	27
2466	NA	906
2467	NA	906
2468	1883	1664
2469	2148	1664
2470	NA	1757
2471	NA	1757
2472	NA	1887
2473	NA	1887
2474	2142	910
2475	2121	2275
2476	NA	2168
2477	2147	2075
2478	2162	2272
2479	NA	2076
2480	1223	2177
2481	NA	1095
2482	NA	1095
2483	NA	1769
2484	2150	1769
2485	2153	36
2486	NA	1073
2487	1883	1072
2488	1587	2167
2489	2173	1255
2490	2150	1255
2491	NA	1251
2492	2297	1251
2493	2132	2214
2494	2132	29
2495	NA	2353
2496	42	1109
2497	2274	1109
2498	2348	1262
2499	2138	1289
2500	42	1877
2501	NA	1877
2502	2335	2366
2503	NA	1263
2504	NA	1660
2505	1890	1083
2506	2263	2069
2507	2312	2069
2508	2149	1820
2509	2115	1820
2510	2115	2374
2511	2148	2252
2512	NA	2313
2513	2322	1078
2514	1587	2154
2515	2173	1834
2516	NA	1880
2517	NA	2064
2518	NA	1649
2519	2115	1554
2520	1878	1663
2521	1223	2175
2522	2348	2073
2523	NA	1079
2524	2115	2302
2525	NA	1252
2526	1223	2262
2527	NA	2315
2528	NA	1882
2529	NA	2218
2530	17	751
2531	NA	1553
2532	NA	1553
2533	1889	1876
2534	2301	1784
2535	1587	1256
2536	1883	21
2537	2142	1246
2539	2256	2073
2540	2115	1885
2541	NA	2170
2542	1884	2314
2543	2123	2311
2544	2123	1225
2545	1587	749
2547	2150	32
2548	1223	902
2549	NA	1552
2550	2145	1552
2552	NA	2232
2553	NA	2295
2554	2305	NA
2555	1884	1666
2556	NA	2219
2562	2255	NA
2563	NA	NA
2564	NA	1258
2565	1889	2292
2568	2160	NA
2569	NA	30
2571	NA	2120
2572	2001	905
2573	2150	NA
2575	2124	NA
2576	2111	2360
2577	NA	2373
2578	NA	574
2579	2138	574
2580	NA	2356
2584	NA	2074
2585	2235	2074
2586	NA	1244
2587	NA	2260
2588	NA	2349
2591	NA	2316
2593	2115	2268
2595	NA	2071
45	NA	NA
61	NA	NA
70	NA	NA
2596	NA	2170
2597	NA	1784
2598	NA	2278
2599	NA	1289
2600	2269	1554
2601	1881	1225
2602	NA	2245
2603	1223	1264
2604	1881	2172
2605	2115	2349
2606	1881	2178
2607	1587	2323
2608	2115	2375
2609	1883	2218
2610	2213	2146
2611	2123	24
2612	2123	24
2613	2150	2262
2614	1223	1741
2615	2411	2154
2616	2151	1882
2617	2263	577
2618	2152	1757
2619	2294	1242
2620	2149	1097
2621	2111	2260
2622	NA	2165
2623	2270	2164
2624	NA	1259
2625	1889	1083
2626	2118	1073
2627	NA	1073
2628	2332	1664
2629	NA	2143
2630	2135	2368
2631	1587	2075
2632	NA	1256
2633	1871	1552
2634	1881	905
2635	NA	2363
2636	2142	2417
2637	2142	1080
2638	NA	2353
2640	2333	2364
2641	NA	1887
2642	2151	1258
2643	2065	1885
2644	1883	1662
2645	NA	1072
2646	NA	747
2647	NA	35
2648	NA	1665
2649	2115	910
2650	2115	1255
2651	NA	34
2652	1881	1079
2653	37	1104
2654	2321	1649
2655	NA	1880
2656	NA	1825
2657	NA	1663
2658	2331	1288
2659	NA	2337
2660	NA	1251
2661	NA	1244
2662	2322	1891
2663	1878	2167
2664	2124	1553
2665	42	NA
2666	1881	2069
2667	2160	2169
2668	2123	2076
2669	NA	2177
2670	2162	1246
2671	2162	1246
2672	NA	1586
2673	NA	1586
2674	NA	2168
2675	2115	2292
2676	NA	1876
2677	1878	36
2678	2136	1877
2679	2115	21
2680	2294	1981
2681	2540	NA
2682	2540	2369
2683	2540	30
2684	1878	NA
2685	2271	2073
2686	2153	1834
2688	2452	1664
2690	2133	NA
2691	NA	NA
2692	1889	NA
2693	42	NA
2694	NA	NA
2695	2173	2073
2696	2147	1089
2697	2099	2164
2698	2138	1660
2699	2148	2066
2700	NA	1877
2701	NA	1226
2702	NA	NA
2703	NA	1820
2704	NA	1101
2705	NA	NA
2706	2135	415
2707	2149	2071
2708	2111	NA
2709	2139	NA
2710	2148	NA
2711	2213	NA
2712	NA	NA
2713	2282	2356
2714	2160	2414
2715	2563	2176
2716	NA	1835
2717	2150	2371
2718	NA	2360
2719	2149	1666
2720	1883	1103
2721	NA	1103
2722	2126	2409
2723	1890	1098
2724	1889	1098
2725	2111	2473
2726	2149	2275
2727	2148	1109
2728	2148	1109
2729	2294	2351
2730	2118	2535
2731	42	1633
2732	NA	2479
2733	NA	2355
2734	2173	2569
2735	2334	2485
2736	2115	2379
2737	2115	1090
2738	2115	1090
2739	NA	2064
2740	NA	2378
2741	2126	2378
2742	2213	2359
2743	2160	2523
2744	2173	NA
